Area	Year	Season	Gear	GearCode	Repeated_Day	Depthstratum	Depth, m	Disturbance	Station	Cod>38N	CodN	CyprinidsB	CyprinidsN	Eel>45N	EelN	EelpoutN	Fish>30N	Fish>40N	Flounder>30N	FlounderN	HerringN	MesopredatorsN	Perch>24N	PerchB	PerchN	PikeN	Pikeperch>40N	PikeperchN	Piscivores>30N	PiscivoresN	TotalcatchN	WhitefishN
Asköfjärden	2005	Warm	Nordic coastal multimesh gillnet	K064	NA	0-3m	3	NO	148	0	0	0,638638996	22	0	0	0	0	0	0	0	0	NA	0	0,252559002	5	1	0	0	0	6	28	0
Asköfjärden	2005	Warm	Nordic coastal multimesh gillnet	K064	NA	3-6m	6	NO	206	0	0	0,278742999	3	0	0	0	0	0	0	0	1	NA	1	1,245740006	14	0	0	0	0	14	34	0
Asköfjärden	2005	Warm	Nordic coastal multimesh gillnet	K064	NA	3-6m	5	NO	213	0	0	1,143087998	45	0	0	0	0	0	0	1	0	NA	0	1,552027985	23	0	0	0	0	23	70	0
Asköfjärden	2005	Warm	Nordic coastal multimesh gillnet	K064	NA	3-6m	5	NO	215	0	0	0,998213995	38	0	0	0	0	0	0	1	0	NA	0	1,915236998	32	0	0	0	0	32	71	0
Asköfjärden	2005	Warm	Nordic coastal multimesh gillnet	K064	NA	3-6m	5	NO	221	0	0	1,052056011	16	0	0	0	0	0	0	0	0	NA	0	0,784825008	13	0	0	0	0	13	30	0
Asköfjärden	2005	Warm	Nordic coastal multimesh gillnet	K064	NA	3-6m	6	NO	222	0	0	1,218564007	18	0	0	0	0	0	0	0	0	NA	0	0,73166001	13	0	0	0	0	14	32	0
Asköfjärden	2005	Warm	Nordic coastal multimesh gillnet	K064	NA	3-6m	6	NO	225	0	0	1,063917004	13	0	0	0	1	0	0	1	1	NA	0	0,759106996	10	0	0	0	1	11	28	0
Asköfjärden	2005	Warm	Nordic coastal multimesh gillnet	K064	NA	3-6m	4	NO	231	0	0	1,868832979	19	0	0	0	1	1	0	1	1	NA	5	3,681920987	29	0	0	0	0	29	50	0
Asköfjärden	2005	Warm	Nordic coastal multimesh gillnet	K064	NA	3-6m	6	NO	236	0	0	0,243877001	4	0	0	0	0	0	0	0	0	NA	0	1,113660017	15	0	0	0	0	15	19	0
Asköfjärden	2005	Warm	Nordic coastal multimesh gillnet	K064	NA	3-6m	6	NO	237	0	0	0,653445989	10	0	0	0	0	0	0	0	2	NA	1	1,839722028	25	0	0	0	0	25	38	0
Asköfjärden	2005	Warm	Nordic coastal multimesh gillnet	K064	NA	3-6m	6	NO	239	0	0	0,860638995	14	0	0	0	0	0	0	2	1	NA	2	2,077458004	24	0	0	0	0	24	42	0
Asköfjärden	2005	Warm	Nordic coastal multimesh gillnet	K064	NA	3-6m	6	NO	241	0	0	0,284498002	4	0	0	0	0	0	0	0	1	NA	0	2,07414702	35	0	0	0	0	35	41	0
Asköfjärden	2005	Warm	Nordic coastal multimesh gillnet	K064	NA	3-6m	4	NO	246	0	0	0,328035004	13	0	0	0	0	0	0	0	1	NA	0	0,484786004	6	0	0	0	0	6	20	0
Asköfjärden	2005	Warm	Nordic coastal multimesh gillnet	K064	NA	6-10m	9	NO	305	0	0	1,262225002	15	0	0	0	0	0	0	3	2	NA	3	2,372103	24	0	0	0	0	24	56	0
Asköfjärden	2005	Warm	Nordic coastal multimesh gillnet	K064	NA	6-10m	8	NO	307	0	0	2,655561995	28	0	0	0	0	0	0	1	2	NA	0	0,90493899	16	0	0	0	0	16	49	0
Asköfjärden	2005	Warm	Nordic coastal multimesh gillnet	K064	NA	6-10m	10	NO	308	0	0	1,753564004	21	0	0	1	2	0	1	2	2	NA	1	1,718867997	19	0	0	1	1	20	59	0
Asköfjärden	2005	Warm	Nordic coastal multimesh gillnet	K064	NA	6-10m	10	NO	309	0	0	0,883825012	12	0	0	0	0	0	0	0	4	NA	0	0,770094998	13	0	0	0	0	13	40	0
Asköfjärden	2005	Warm	Nordic coastal multimesh gillnet	K064	NA	6-10m	8	NO	310	0	0	2,279927045	29	0	0	0	0	0	0	0	0	NA	2	1,209699983	11	0	0	0	0	11	45	0
Asköfjärden	2005	Warm	Nordic coastal multimesh gillnet	K064	NA	6-10m	8	NO	317	0	0	2,113076981	30	0	0	0	3	0	0	1	0	NA	1	2,451188991	40	0	0	6	3	46	77	0
Asköfjärden	2005	Warm	Nordic coastal multimesh gillnet	K064	NA	6-10m	8	NO	318	0	0	1,253326029	15	0	0	0	4	1	0	0	0	NA	1	0,927078996	13	0	1	4	4	17	32	0
Asköfjärden	2005	Warm	Nordic coastal multimesh gillnet	K064	NA	6-10m	9	NO	319	0	0	2,263857014	34	0	0	0	0	0	0	0	0	NA	0	1,216415994	22	0	0	2	0	24	63	0
Asköfjärden	2005	Warm	Nordic coastal multimesh gillnet	K064	NA	6-10m	7	NO	330	0	0	0,976810001	22	0	0	0	0	0	0	3	1	NA	2	2,537096001	24	0	0	0	0	24	54	0
Asköfjärden	2005	Warm	Nordic coastal multimesh gillnet	K064	NA	6-10m	10	NO	342	0	0	0,092914	1	0	0	0	0	0	0	0	9	NA	0	2,675630026	40	0	0	0	0	40	58	0
Asköfjärden	2005	Warm	Nordic coastal multimesh gillnet	K064	NA	6-10m	7	NO	343	0	0	1,071282025	12	0	0	0	0	0	0	0	0	NA	2	3,105963003	48	0	0	1	0	49	62	0
Asköfjärden	2005	Warm	Nordic coastal multimesh gillnet	K064	NA	6-10m	8	NO	347	0	0	0,364180006	4	0	0	0	0	0	0	0	4	NA	1	3,438906025	41	0	0	0	0	41	52	0
Asköfjärden	2005	Warm	Nordic coastal multimesh gillnet	K064	NA	10-20m	14	NO	403	0	0	0,37875101	3	0	0	1	0	0	0	0	10	NA	0	0,49779601	8	0	0	0	0	8	49	0
Asköfjärden	2005	Warm	Nordic coastal multimesh gillnet	K064	NA	10-20m	13	NO	404	0	0	0,108429	1	0	0	0	0	0	0	0	7	NA	2	1,43265298	15	0	0	0	0	15	41	0
Asköfjärden	2005	Warm	Nordic coastal multimesh gillnet	K064	NA	10-20m	15	NO	423	0	0	0	0	0	0	0	0	0	0	0	4	NA	0	0,316199005	2	0	0	0	0	2	37	0
Asköfjärden	2005	Warm	Nordic coastal multimesh gillnet	K064	NA	10-20m	12	NO	424	0	0	0,736547019	7	0	0	0	0	0	0	0	2	NA	0	0,473657999	7	0	0	0	0	7	20	0
Asköfjärden	2005	Warm	Nordic coastal multimesh gillnet	K064	NA	10-20m	11	NO	426	0	0	2,839970041	29	0	0	0	0	0	0	0	1	NA	0	0,687374005	11	0	0	1	0	12	51	0
Asköfjärden	2005	Warm	Nordic coastal multimesh gillnet	K064	NA	10-20m	12	NO	427	0	0	3,101018004	32	0	0	0	0	0	0	0	1	NA	0	0,709611002	13	0	0	0	0	13	57	0
Asköfjärden	2005	Warm	Nordic coastal multimesh gillnet	K064	NA	10-20m	15	NO	433	0	0	0,254046001	3	0	0	0	0	0	0	1	3	NA	0	0	0	0	0	0	0	0	13	0
Asköfjärden	2005	Warm	Nordic coastal multimesh gillnet	K064	NA	10-20m	17	NO	434	0	0	0	0	0	0	0	0	0	0	0	12	NA	0	0,108635999	1	0	0	0	0	1	22	0
Asköfjärden	2005	Warm	Nordic coastal multimesh gillnet	K064	NA	10-20m	14	NO	435	0	0	0	0	0	0	0	0	0	0	0	20	NA	0	0,527071998	7	0	0	0	0	7	38	0
Asköfjärden	2005	Warm	Nordic coastal multimesh gillnet	K064	NA	10-20m	13	NO	438	0	0	0	0	0	0	0	0	0	0	0	6	NA	0	0	0	0	0	0	0	0	20	0
Asköfjärden	2005	Warm	Nordic coastal multimesh gillnet	K064	NA	10-20m	12	NO	440	0	0	0,045967001	1	0	0	0	0	0	0	0	3	NA	0	0,575757008	10	0	0	0	0	10	30	0
Asköfjärden	2005	Warm	Nordic coastal multimesh gillnet	K064	NA	10-20m	12	NO	444	0	0	0,258833006	3	0	0	0	0	0	0	0	10	NA	0	0,856348012	13	0	0	0	0	13	34	0
Asköfjärden	2006	Warm	Nordic coastal multimesh gillnet	K064	NA	0-3m	3	NO	101	0	0	0,153321002	3	0	0	0	0	0	0	1	0	NA	6	3,145958986	39	0	0	0	0	39	46	0
Asköfjärden	2006	Warm	Nordic coastal multimesh gillnet	K064	NA	0-3m	3	NO	102	0	0	0,018686	1	0	0	1	1	0	1	1	0	NA	0	1,547806015	34	0	0	0	0	34	43	0
Asköfjärden	2006	Warm	Nordic coastal multimesh gillnet	K064	NA	0-3m	3	NO	111	0	0	0,289705001	11	0	0	0	1	0	0	0	0	NA	1	1,04953102	23	0	0	0	1	23	34	0
Asköfjärden	2006	Warm	Nordic coastal multimesh gillnet	K064	NA	0-3m	3	NO	112	0	0	0,936285008	44	0	0	0	1	0	0	0	0	NA	2	1,881395999	31	0	0	0	1	31	75	0
Asköfjärden	2006	Warm	Nordic coastal multimesh gillnet	K064	NA	0-3m	3	NO	114	0	0	0	0	0	0	0	0	0	0	0	0	NA	1	2,148848999	34	0	0	0	0	34	34	0
Asköfjärden	2006	Warm	Nordic coastal multimesh gillnet	K064	NA	0-3m	2	NO	116	0	0	0,041671	2	0	0	0	1	0	0	0	0	NA	2	2,613841023	32	0	0	0	1	32	34	0
Asköfjärden	2006	Warm	Nordic coastal multimesh gillnet	K064	NA	0-3m	3	NO	120	0	0	0,903223991	3	0	0	0	1	0	0	0	0	NA	2	2,932270009	58	0	0	0	0	58	61	0
Asköfjärden	2006	Warm	Nordic coastal multimesh gillnet	K064	NA	0-3m	2	NO	128	0	0	2,055929046	18	0	0	0	1	1	0	1	0	NA	0	0,355903007	4	0	0	0	0	4	23	0
Asköfjärden	2006	Warm	Nordic coastal multimesh gillnet	K064	NA	0-3m	3	NO	129	0	0	1,169407014	11	0	0	0	1	1	0	0	0	NA	1	1,266316	15	0	0	0	0	15	26	0
Asköfjärden	2006	Warm	Nordic coastal multimesh gillnet	K064	NA	0-3m	2	NO	132	0	0	1,445103019	45	0	0	0	0	0	0	1	0	NA	2	1,823782008	23	0	0	0	0	23	69	0
Asköfjärden	2006	Warm	Nordic coastal multimesh gillnet	K064	NA	0-3m	3	NO	145	0	0	1,097017029	8	0	0	0	1	1	0	0	0	NA	1	0,703455996	13	0	0	0	0	13	22	0
Asköfjärden	2006	Warm	Nordic coastal multimesh gillnet	K064	NA	0-3m	3	NO	148	0	0	2,427880038	27	0	0	0	3	3	0	0	0	NA	3	2,535553996	21	1	0	0	1	22	49	0
Asköfjärden	2006	Warm	Nordic coastal multimesh gillnet	K064	NA	3-6m	6	NO	206	0	0	0,629329007	8	0	0	0	0	0	0	1	0	NA	2	1,419762993	15	0	0	0	0	15	24	0
Asköfjärden	2006	Warm	Nordic coastal multimesh gillnet	K064	NA	3-6m	5	NO	213	0	0	0,018686	1	0	0	0	2	0	0	2	0	NA	1	1,545687022	21	1	0	0	2	22	25	0
Asköfjärden	2006	Warm	Nordic coastal multimesh gillnet	K064	NA	3-6m	5	NO	215	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	2,607981993	44	0	0	0	0	44	44	0
Asköfjärden	2006	Warm	Nordic coastal multimesh gillnet	K064	NA	3-6m	5	NO	221	0	0	0,728344005	16	0	0	0	1	1	0	1	0	NA	1	1,449967004	16	0	1	1	1	17	34	0
Asköfjärden	2006	Warm	Nordic coastal multimesh gillnet	K064	NA	3-6m	6	NO	222	0	0	0,931754999	14	0	0	0	1	0	0	1	0	NA	0	1,121404018	21	1	0	0	1	22	37	0
Asköfjärden	2006	Warm	Nordic coastal multimesh gillnet	K064	NA	3-6m	6	NO	225	0	0	2,007531028	36	0	0	0	1	1	0	0	0	NA	1	1,697328996	37	0	1	1	1	38	74	0
Asköfjärden	2006	Warm	Nordic coastal multimesh gillnet	K064	NA	3-6m	4	NO	231	0	0	1,501724005	30	0	0	0	3	0	0	1	0	NA	3	2,469094016	33	2	0	0	3	35	68	0
Asköfjärden	2006	Warm	Nordic coastal multimesh gillnet	K064	NA	3-6m	6	NO	236	0	0	0,883702993	14	0	0	0	0	0	0	0	0	NA	0	0,919903003	14	0	0	0	0	14	28	0
Asköfjärden	2006	Warm	Nordic coastal multimesh gillnet	K064	NA	3-6m	6	NO	237	0	0	0,614211001	19	0	0	0	0	0	0	0	0	NA	1	0,630737001	10	0	0	0	0	10	29	0
Asköfjärden	2006	Warm	Nordic coastal multimesh gillnet	K064	NA	3-6m	6	NO	239	0	0	3,446116995	62	0	0	0	0	0	0	1	0	NA	0	0,171219995	7	0	0	0	0	7	70	0
Asköfjärden	2006	Warm	Nordic coastal multimesh gillnet	K064	NA	3-6m	6	NO	241	0	0	3,485410027	58	0	0	0	0	0	0	0	0	NA	0	0,371697005	10	0	0	0	0	10	68	0
Asköfjärden	2006	Warm	Nordic coastal multimesh gillnet	K064	NA	3-6m	4	NO	246	0	0	0,442289993	3	0	0	0	1	0	0	0	0	NA	0	1,016805016	17	0	0	0	0	17	20	0
Asköfjärden	2006	Warm	Nordic coastal multimesh gillnet	K064	NA	6-10m	9	NO	305	0	0	0,079007	1	0	0	0	1	0	0	0	0	NA	4	3,10488802	37	0	0	2	1	39	40	0
Asköfjärden	2006	Warm	Nordic coastal multimesh gillnet	K064	NA	6-10m	8	NO	307	0	0	0,341698002	7	0	0	0	0	0	0	1	0	NA	1	2,505494056	27	0	0	0	0	27	35	0
Asköfjärden	2006	Warm	Nordic coastal multimesh gillnet	K064	NA	6-10m	10	NO	308	0	0	1,056403007	15	0	0	1	0	0	0	0	0	NA	0	1,278848007	19	0	0	1	0	20	37	0
Asköfjärden	2006	Warm	Nordic coastal multimesh gillnet	K064	NA	6-10m	10	NO	309	0	0	0,906510014	9	0	0	0	0	0	0	1	0	NA	0	1,082371017	13	0	0	5	0	18	28	0
Asköfjärden	2006	Warm	Nordic coastal multimesh gillnet	K064	NA	6-10m	8	NO	310	0	0	2,125308	32	0	0	0	0	0	0	0	0	NA	1	0,472101003	10	0	0	1	0	11	43	0
Asköfjärden	2006	Warm	Nordic coastal multimesh gillnet	K064	NA	6-10m	8	NO	317	0	0	2,801141012	46	0	0	0	2	1	0	0	0	NA	1	2,162294023	38	0	1	2	2	40	86	0
Asköfjärden	2006	Warm	Nordic coastal multimesh gillnet	K064	NA	6-10m	8	NO	318	0	0	0,945866007	17	0	0	0	6	2	0	0	0	NA	2	1,915605992	30	0	2	10	6	40	57	0
Asköfjärden	2006	Warm	Nordic coastal multimesh gillnet	K064	NA	6-10m	9	NO	319	0	0	2,644502047	29	0	0	0	11	5	0	1	0	NA	0	0,768334001	16	0	5	60	11	76	107	0
Asköfjärden	2006	Warm	Nordic coastal multimesh gillnet	K064	NA	6-10m	7	NO	330	0	0	1,330221023	20	0	0	0	0	0	0	1	0	NA	2	2,222187998	31	0	0	3	0	34	56	0
Asköfjärden	2006	Warm	Nordic coastal multimesh gillnet	K064	NA	6-10m	10	NO	342	0	0	3,144050997	56	0	0	0	0	0	0	0	0	NA	1	0,859119004	17	0	0	0	0	17	73	0
Asköfjärden	2006	Warm	Nordic coastal multimesh gillnet	K064	NA	6-10m	7	NO	343	0	0	2,815120019	43	0	0	0	2	0	0	0	0	NA	5	2,182306988	15	0	0	0	2	15	58	0
Asköfjärden	2006	Warm	Nordic coastal multimesh gillnet	K064	NA	6-10m	8	NO	347	0	0	0,900717013	10	0	0	0	0	0	0	0	0	NA	0	0,788664024	18	0	0	1	0	19	29	0
Asköfjärden	2006	Warm	Nordic coastal multimesh gillnet	K064	NA	10-20m	14	NO	403	0	0	2,837599039	25	0	0	0	0	0	0	1	0	NA	0	1,707111003	28	0	0	5	0	33	68	0
Asköfjärden	2006	Warm	Nordic coastal multimesh gillnet	K064	NA	10-20m	13	NO	404	0	0	1,066176008	11	0	0	0	0	0	0	0	1	NA	0	1,631460004	36	0	0	4	0	40	61	0
Asköfjärden	2006	Warm	Nordic coastal multimesh gillnet	K064	NA	10-20m	15	NO	423	0	0	0,224624	3	0	0	1	1	1	0	0	0	NA	0	0,993384019	11	0	1	4	1	15	23	0
Asköfjärden	2006	Warm	Nordic coastal multimesh gillnet	K064	NA	10-20m	12	NO	424	0	0	0,125649005	1	0	0	0	1	0	0	0	1	NA	0	0,501505014	8	0	0	3	1	11	27	0
Asköfjärden	2006	Warm	Nordic coastal multimesh gillnet	K064	NA	10-20m	11	NO	426	0	0	2,593126047	32	0	0	0	3	0	0	0	0	NA	0	0,458492003	10	0	0	12	3	22	55	0
Asköfjärden	2006	Warm	Nordic coastal multimesh gillnet	K064	NA	10-20m	12	NO	427	0	0	2,148483049	21	0	0	0	3	1	0	0	0	NA	1	1,798570011	24	0	1	13	3	37	59	0
Asköfjärden	2006	Warm	Nordic coastal multimesh gillnet	K064	NA	10-20m	15	NO	433	0	0	1,860903978	21	0	0	0	0	0	0	0	0	NA	0	1,238633011	18	0	0	4	0	22	45	0
Asköfjärden	2006	Warm	Nordic coastal multimesh gillnet	K064	NA	10-20m	14	NO	435	0	0	2,269732025	18	0	0	0	0	0	0	0	0	NA	0	0,662574001	11	0	0	12	0	23	41	0
Asköfjärden	2006	Warm	Nordic coastal multimesh gillnet	K064	NA	10-20m	13	NO	438	0	0	0,626477003	6	0	0	0	0	0	0	2	1	NA	2	2,700734992	34	0	0	12	0	46	61	0
Asköfjärden	2006	Warm	Nordic coastal multimesh gillnet	K064	NA	10-20m	12	NO	440	0	0	0,108429	1	0	0	0	0	0	0	0	1	NA	0	3,267307002	57	0	0	0	0	57	69	0
Asköfjärden	2006	Warm	Nordic coastal multimesh gillnet	K064	NA	10-20m	12	NO	444	0	0	0,922397003	10	0	0	0	0	0	0	1	1	NA	0	0,696397997	9	0	0	2	0	11	25	0
Asköfjärden	2007	Warm	Nordic coastal multimesh gillnet	K064	NA	0-3m	3	NO	101	0	0	0,746945988	21	0	0	0	0	0	0	0	3	NA	3	2,278942002	31	0	0	0	0	31	56	0
Asköfjärden	2007	Warm	Nordic coastal multimesh gillnet	K064	NA	0-3m	3	NO	102	0	0	0,243577998	11	0	0	0	1	0	0	1	0	NA	0	2,067846015	34	1	0	0	1	35	48	0
Asköfjärden	2007	Warm	Nordic coastal multimesh gillnet	K064	NA	0-3m	3	NO	111	0	0	0,308713004	10	0	0	0	0	0	0	0	0	NA	2	3,729274003	62	0	0	0	0	62	72	0
Asköfjärden	2007	Warm	Nordic coastal multimesh gillnet	K064	NA	0-3m	3	NO	112	0	0	0,101683	6	0	0	0	0	0	0	0	0	NA	3	2,52869297	24	0	0	0	0	24	30	0
Asköfjärden	2007	Warm	Nordic coastal multimesh gillnet	K064	NA	0-3m	3	NO	114	0	0	0,08334	3	0	0	0	0	0	0	0	0	NA	1	3,030889969	71	0	0	0	0	71	74	0
Asköfjärden	2007	Warm	Nordic coastal multimesh gillnet	K064	NA	0-3m	2	NO	116	0	0	0,957204986	23	0	0	0	1	1	0	0	0	NA	0	2,199069992	57	1	0	0	1	58	81	0
Asköfjärden	2007	Warm	Nordic coastal multimesh gillnet	K064	NA	0-3m	3	NO	120	0	0	0,349964999	9	0	0	0	0	0	0	0	1	NA	1	2,349244989	40	0	0	0	0	40	52	0
Asköfjärden	2007	Warm	Nordic coastal multimesh gillnet	K064	NA	0-3m	2	NO	128	0	0	0,711081993	29	0	0	0	2	0	0	0	0	NA	2	2,98399701	37	0	0	0	2	37	66	0
Asköfjärden	2007	Warm	Nordic coastal multimesh gillnet	K064	NA	0-3m	3	NO	129	0	0	0,281034	9	0	0	0	0	0	0	0	0	NA	5	2,269746959	17	0	0	0	0	17	26	0
Asköfjärden	2007	Warm	Nordic coastal multimesh gillnet	K064	NA	0-3m	2	NO	132	0	0	0,68325901	21	0	0	0	0	0	0	0	0	NA	2	2,557487018	39	0	0	1	0	40	61	0
Asköfjärden	2007	Warm	Nordic coastal multimesh gillnet	K064	NA	0-3m	3	NO	145	0	0	3,220551003	69	0	0	0	0	0	0	0	0	NA	2	2,55754701	41	0	0	1	0	42	111	0
Asköfjärden	2007	Warm	Nordic coastal multimesh gillnet	K064	NA	0-3m	3	NO	148	0	0	2,02373001	35	0	0	0	0	0	0	0	1	NA	1	1,107897006	21	0	0	2	0	23	59	0
Asköfjärden	2007	Warm	Nordic coastal multimesh gillnet	K064	NA	3-6m	6	NO	206	0	0	1,269075003	28	0	0	0	0	0	0	2	3	NA	4	2,672440998	33	0	0	0	0	33	66	0
Asköfjärden	2007	Warm	Nordic coastal multimesh gillnet	K064	NA	3-6m	5	NO	213	0	0	0,194848001	5	0	0	0	0	0	0	0	0	NA	1	1,763947017	31	0	0	0	0	31	36	0
Asköfjärden	2007	Warm	Nordic coastal multimesh gillnet	K064	NA	3-6m	5	NO	215	0	0	0	0	0	0	0	0	0	0	1	0	NA	1	2,023531005	48	0	0	0	0	48	49	0
Asköfjärden	2007	Warm	Nordic coastal multimesh gillnet	K064	NA	3-6m	5	NO	221	0	0	0,054217	2	0	0	0	1	0	0	0	0	NA	1	1,206009004	17	1	0	0	1	18	21	0
Asköfjärden	2007	Warm	Nordic coastal multimesh gillnet	K064	NA	3-6m	6	NO	222	0	0	0,108429	1	0	0	0	0	0	0	0	0	NA	5	2,415321004	19	0	0	0	0	19	20	0
Asköfjärden	2007	Warm	Nordic coastal multimesh gillnet	K064	NA	3-6m	6	NO	225	0	0	0	0	0	0	2	0	0	0	0	2	NA	3	2,048324976	28	0	0	0	0	28	34	0
Asköfjärden	2007	Warm	Nordic coastal multimesh gillnet	K064	NA	3-6m	4	NO	231	0	0	1,46076199	35	0	0	0	0	0	0	0	14	NA	0	2,193886023	35	0	0	0	0	35	85	0
Asköfjärden	2007	Warm	Nordic coastal multimesh gillnet	K064	NA	3-6m	6	NO	236	0	0	0,075066	2	0	0	0	1	0	0	2	1	NA	2	2,447829995	37	0	0	0	1	37	45	0
Asköfjärden	2007	Warm	Nordic coastal multimesh gillnet	K064	NA	3-6m	6	NO	237	0	0	0,305438004	4	0	0	0	0	0	0	0	4	NA	0	1,09072401	16	0	0	0	0	16	30	0
Asköfjärden	2007	Warm	Nordic coastal multimesh gillnet	K064	NA	3-6m	6	NO	239	0	0	0,303787004	6	0	0	0	0	0	0	0	3	NA	0	0,759531006	12	0	0	1	0	13	30	0
Asköfjärden	2007	Warm	Nordic coastal multimesh gillnet	K064	NA	3-6m	6	NO	241	0	0	0,888941005	20	0	0	0	0	0	0	0	1	NA	0	0,982084006	19	0	0	1	0	20	44	0
Asköfjärden	2007	Warm	Nordic coastal multimesh gillnet	K064	NA	3-6m	4	NO	246	0	0	3,082047997	53	0	0	0	0	0	0	0	0	NA	1	1,474029014	33	0	0	2	0	35	89	0
Asköfjärden	2007	Warm	Nordic coastal multimesh gillnet	K064	NA	6-10m	9	NO	305	0	0	2,323060013	42	0	0	0	0	0	0	1	0	NA	6	4,136161996	40	0	0	0	0	40	85	0
Asköfjärden	2007	Warm	Nordic coastal multimesh gillnet	K064	NA	6-10m	8	NO	307	0	0	4,094042001	81	0	0	0	1	0	0	1	0	NA	2	2,63144503	46	0	0	0	1	46	132	0
Asköfjärden	2007	Warm	Nordic coastal multimesh gillnet	K064	NA	6-10m	10	NO	308	0	0	3,872671984	77	0	0	0	0	0	0	0	0	NA	2	2,564644989	49	0	0	0	0	49	129	0
Asköfjärden	2007	Warm	Nordic coastal multimesh gillnet	K064	NA	6-10m	10	NO	309	0	0	0,030235	1	0	0	0	0	0	0	0	2	NA	0	0,539828997	11	0	0	1	0	12	19	0
Asköfjärden	2007	Warm	Nordic coastal multimesh gillnet	K064	NA	6-10m	8	NO	310	0	0	0	0	0	0	0	0	0	0	0	1	NA	0	0,66825401	18	0	0	0	0	18	19	0
Asköfjärden	2007	Warm	Nordic coastal multimesh gillnet	K064	NA	6-10m	8	NO	317	0	0	5,252771996	100	0	0	0	0	0	0	0	6	NA	0	1,123656016	29	0	0	0	0	29	154	0
Asköfjärden	2007	Warm	Nordic coastal multimesh gillnet	K064	NA	6-10m	8	NO	318	0	0	4,993184	87	0	0	0	1	0	0	0	0	NA	0	1,789389025	33	1	0	0	1	34	121	0
Asköfjärden	2007	Warm	Nordic coastal multimesh gillnet	K064	NA	6-10m	9	NO	319	0	0	0,587067019	2	0	0	0	1	0	0	1	18	NA	1	1,639500003	28	0	0	0	0	28	69	0
Asköfjärden	2007	Warm	Nordic coastal multimesh gillnet	K064	NA	6-10m	7	NO	330	0	0	0,562959004	19	0	0	0	1	0	0	1	1	NA	3	2,523922026	34	0	0	0	1	34	56	0
Asköfjärden	2007	Warm	Nordic coastal multimesh gillnet	K064	NA	6-10m	10	NO	342	0	0	0,220842	4	0	0	0	0	0	0	1	1	NA	1	1,715987021	25	0	0	0	0	25	75	0
Asköfjärden	2007	Warm	Nordic coastal multimesh gillnet	K064	NA	6-10m	7	NO	343	0	0	0,687750008	11	0	0	0	0	0	0	0	0	NA	6	4,987290014	62	0	0	0	0	62	74	0
